Crop,Year,Yield_kg_per_ha
Sugar beet,1989,41182.74
Sugar beet,1990,40731.96
Sugar beet,1991,44392.86
Sugar beet,1992,51512.69
Sugar beet,1993,49065.99
Sugar beet,1994,44717.95
Sugar beet,1995,43015.31
Sugar beet,1996,52361.81
Sugar beet,1997,56548.93
Sugar beet,1998,53002.56
Sugar beet,1999,57952.51
Sugar beet,2000,52513.91
Sugar beet,2001,46991.8
Sugar beet,2002,56504.36
Sugar beet,2003,56551.87
Sugar beet,2004,58749.48
Sugar beet,2005,58579.09
Sugar beet,2006,56859.87
Sugar beet,2007,53870.08
Sugar beet,2008,63861.02
Sugar beet,2009,74017.46
Sugar beet,2010,53635.9
Sugar beet,2011,75541.65
Sugar beet,2012,62139.87
Sugar beet,2013,69855.84
Sugar beet,2014,79841.59
Sugar beet,2015,74136.6
Sugar beet,2016,71206.69
Sugar beet,2017,83397.83
Sugar beet,2018,69060.55
Sugar beet,2019,77658.4
Sugar beet,2020,56560.37
Sugar beet,2021,81107.2
Sugar beet,2022,63857.99
Sugar beet,2023,78217.21
Sugar beet,2024,76343.73
Wheat,1984,7713.25
Wheat,1985,6332.42
Wheat,1986,6964.21
Wheat,1987,5987.87
Wheat,1988,6230.92
Wheat,1989,6737.08
Wheat,1990,6969.26
Wheat,1991,7251.43
Wheat,1992,6819.3
Wheat,1993,7326.86
Wheat,1994,7351.98
Wheat,1995,7699.16
Wheat,1996,8100.0
Wheat,1997,7400.0
Wheat,1998,7600.0
Wheat,1999,8100.0
Wheat,2000,8010.0
Wheat,2001,7060.0
Wheat,2002,8030.0
Wheat,2003,7760.0
Wheat,2004,7770.0
Wheat,2005,7960.0
Wheat,2006,8040.0
Wheat,2007,7224.59
Wheat,2008,8280.0
Wheat,2009,7930.14
Wheat,2010,7673.03
Wheat,2011,7747.09
Wheat,2012,6657.13
Wheat,2013,7381.42
Wheat,2014,8579.0
Wheat,2015,8970.0
Wheat,2016,7890.0
Wheat,2017,8280.34
Wheat,2018,7760.0
Wheat,2019,8940.0
Wheat,2020,6960.0
Wheat,2021,7814.53
Wheat,2022,8571.43
Wheat,2023,8127.91
Wheat,2024,7280.21
